Trip_ID,distance_km,average_speed_kmph,hour_sin,hour_cos,day_sin,day_cos,historical_surge_multiplier,historical_wait_time,vanet_avg_queue_length,vanet_comm_delay_ms,start_stop_density,end_stop_density,route_total_stops,environmental_friction_penalty,weather_condition_Fog,weather_condition_Heatwave,weather_condition_Rain,traffic_density_level_Low,traffic_density_level_Medium,traffic_density_level_Very High,road_type_Inner Road,road_type_Main Road,travel_time_minutes
TRIP_00001,9.44,37.8,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,40.168315825002004,8.389120370370371,21.715947892720305,84.46652308429118,62,38,100,1.0,0,0,0,1,0,0,0,1,15.3
TRIP_00002,2.15,42.7,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,33.90009451375985,8.522172452407615,21.715947892720305,84.46652308429118,14,38,52,1.0,0,0,0,1,0,0,0,1,3.0
TRIP_00003,14.54,9.7,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,38.766608105635115,8.540833333333333,25.939735027223232,96.88107683000605,48,13,61,1.3,0,0,1,0,0,0,1,0,92.7
TRIP_00004,11.86,68.5,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,41.879185969627635,8.353386911595868,21.715947892720305,84.46652308429118,52,313,365,1.0,0,0,0,1,0,0,0,0,10.6
TRIP_00005,20.26,30.3,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,37.474781733351485,8.257245508982036,10.24819306206089,48.46880891393443,263,0,263,1.45,1,0,0,0,1,0,0,0,42.0
TRIP_00006,5.26,51.7,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,38.766608105635115,8.540833333333333,18.16851595251754,77.20888398570231,48,313,361,1.0,0,0,0,0,1,0,0,0,6.1
TRIP_00007,8.57,7.6,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,41.600608496555104,8.456449553001276,25.939735027223232,96.88107683000605,0,4,4,1.0,0,0,0,0,0,1,1,0,70.6
TRIP_00008,17.53,37.3,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,37.474781733351485,8.257245508982036,18.16851595251754,77.20888398570231,263,313,576,1.0,0,0,0,0,1,0,0,1,27.5
TRIP_00009,11.0,39.7,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,37.88735505148107,8.66859410430839,18.16851595251754,77.20888398570231,11,39,50,1.0,0,1,0,0,0,0,0,0,17.0
TRIP_00010,13.24,23.6,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,40.168315825002004,8.389120370370371,18.16851595251754,77.20888398570231,62,48,110,1.0,0,0,0,0,0,0,0,1,38.6
TRIP_00011,11.29,24.8,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,35.320548351429274,8.639323220536756,25.939735027223232,96.88107683000605,0,24,24,1.0,0,0,0,0,0,0,0,1,26.8
TRIP_00012,3.05,56.4,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,38.845483630992355,8.599193548387097,10.24819306206089,48.46880891393443,41,4,45,1.0,0,0,0,1,0,0,0,1,3.6
TRIP_00013,26.64,16.3,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,37.474781733351485,8.257245508982036,25.939735027223232,96.88107683000605,263,26,289,1.0,0,0,0,0,0,1,0,0,97.1
TRIP_00014,21.87,10.2,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,38.66946917792865,8.534014423076924,25.939735027223232,96.88107683000605,38,13,51,1.0,0,0,0,0,0,1,0,1,127.9
TRIP_00015,13.13,58.1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,33.90009451375985,8.522172452407615,25.939735027223232,96.88107683000605,14,11,25,1.0,0,0,0,1,0,0,0,1,14.0
TRIP_00016,18.43,43.9,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,33.11081160316938,8.231481481481481,10.24819306206089,48.46880891393443,13,9,22,1.3,0,0,1,0,1,0,0,0,27.6
TRIP_00017,23.01,45.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,37.88735505148107,8.408088235294118,18.16851595251754,77.20888398570231,313,38,351,1.0,0,0,0,1,0,0,0,1,32.1
TRIP_00018,21.94,36.8,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,41.600608496555104,8.456449553001276,21.715947892720305,84.46652308429118,0,52,52,1.0,0,0,0,0,1,0,0,1,40.4
TRIP_00019,11.0,19.3,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,34.49987181248399,8.567763157894737,10.24819306206089,48.46880891393443,39,11,50,1.3,0,0,1,0,0,0,0,1,33.4
TRIP_00020,5.2,16.3,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,37.19474339285992,8.543764705882353,18.16851595251754,77.20888398570231,9,19,28,1.0,0,0,0,0,0,1,0,0,19.8
TRIP_00021,20.8,21.7,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,38.385833508513706,8.262317210348707,18.16851595251754,77.20888398570231,19,313,332,1.0,0,0,0,0,0,1,0,0,63.8
TRIP_00022,3.26,17.4,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,37.588725852112645,8.21792656587473,25.939735027223232,96.88107683000605,8,14,22,1.0,0,0,0,0,0,0,1,0,11.5
TRIP_00023,21.24,32.2,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,34.49987181248399,8.567763157894737,25.939735027223232,96.88107683000605,39,13,52,1.3,0,0,1,0,1,0,0,1,45.4
TRIP_00024,10.5,79.8,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,33.11081160316938,8.231481481481481,21.715947892720305,84.46652308429118,13,22,35,1.0,0,1,0,1,0,0,0,0,7.8
TRIP_00025,28.43,12.5,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,33.90009451375985,8.522172452407615,18.16851595251754,77.20888398570231,14,263,277,1.3,0,0,1,0,0,1,0,0,141.5
TRIP_00026,17.0,15.9,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,37.463432315705184,8.404101326899879,10.24819306206089,48.46880891393443,24,8,32,1.45,1,0,0,0,0,0,0,1,65.1
TRIP_00027,9.83,26.8,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,36.56688485696669,8.378816568047338,18.16851595251754,77.20888398570231,0,19,19,1.0,0,1,0,0,1,0,0,1,21.4
TRIP_00028,3.26,27.2,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,33.90009451375985,8.522172452407615,25.939735027223232,96.88107683000605,14,8,22,1.0,0,0,0,0,0,0,0,1,7.6
TRIP_00029,16.26,47.8,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,37.19474339285992,8.543764705882353,25.939735027223232,96.88107683000605,9,22,31,1.3,0,0,1,0,1,0,0,0,19.9
TRIP_00030,10.32,19.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,40.33464955742058,8.436056009334889,25.939735027223232,96.88107683000605,9,11,20,1.0,0,0,0,0,0,0,0,1,32.9
TRIP_00031,14.87,24.6,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,33.90009451375985,8.522172452407615,25.939735027223232,96.88107683000605,14,7,21,1.3,0,0,1,0,1,0,0,1,35.3
TRIP_00032,15.91,64.9,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,40.33464955742058,8.436056009334889,25.939735027223232,96.88107683000605,9,39,48,1.0,0,0,0,0,1,0,0,0,14.3
TRIP_00033,9.44,25.4,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,37.94632327322461,8.408088235294118,10.24819306206089,48.46880891393443,38,62,100,1.3,0,0,1,1,0,0,1,0,21.7
TRIP_00034,12.67,20.2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,36.56688485696669,8.378816568047338,18.16851595251754,77.20888398570231,0,0,0,1.0,0,0,0,0,0,1,0,0,38.5
TRIP_00035,3.42,7.8,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,36.56688485696669,8.378816568047338,18.16851595251754,77.20888398570231,0,21,21,1.3,0,0,1,0,0,0,1,0,26.0
